,dirname,filename,mask_dirname,mask_filename
0,/root/data/liver_seg/segmentations,segmentation-0.nii,,
1,/root/data/liver_seg/segmentations,segmentation-1.nii,,
2,/root/data/liver_seg/segmentations,segmentation-10.nii,,
3,/root/data/liver_seg/segmentations,segmentation-100.nii,,
4,/root/data/liver_seg/segmentations,segmentation-101.nii,,
5,/root/data/liver_seg/segmentations,segmentation-102.nii,,
6,/root/data/liver_seg/segmentations,segmentation-103.nii,,
7,/root/data/liver_seg/segmentations,segmentation-104.nii,,
8,/root/data/liver_seg/segmentations,segmentation-105.nii,,
9,/root/data/liver_seg/segmentations,segmentation-106.nii,,
10,/root/data/liver_seg/segmentations,segmentation-107.nii,,
11,/root/data/liver_seg/segmentations,segmentation-108.nii,,
12,/root/data/liver_seg/segmentations,segmentation-109.nii,,
13,/root/data/liver_seg/segmentations,segmentation-11.nii,,
14,/root/data/liver_seg/segmentations,segmentation-110.nii,,
15,/root/data/liver_seg/segmentations,segmentation-111.nii,,
16,/root/data/liver_seg/segmentations,segmentation-112.nii,,
17,/root/data/liver_seg/segmentations,segmentation-113.nii,,
18,/root/data/liver_seg/segmentations,segmentation-114.nii,,
19,/root/data/liver_seg/segmentations,segmentation-115.nii,,
20,/root/data/liver_seg/segmentations,segmentation-116.nii,,
21,/root/data/liver_seg/segmentations,segmentation-117.nii,,
22,/root/data/liver_seg/segmentations,segmentation-118.nii,,
23,/root/data/liver_seg/segmentations,segmentation-119.nii,,
24,/root/data/liver_seg/segmentations,segmentation-12.nii,,
25,/root/data/liver_seg/segmentations,segmentation-120.nii,,
26,/root/data/liver_seg/segmentations,segmentation-121.nii,,
27,/root/data/liver_seg/segmentations,segmentation-122.nii,,
28,/root/data/liver_seg/segmentations,segmentation-123.nii,,
29,/root/data/liver_seg/segmentations,segmentation-124.nii,,
30,/root/data/liver_seg/segmentations,segmentation-125.nii,,
31,/root/data/liver_seg/segmentations,segmentation-126.nii,,
32,/root/data/liver_seg/segmentations,segmentation-127.nii,,
33,/root/data/liver_seg/segmentations,segmentation-128.nii,,
34,/root/data/liver_seg/segmentations,segmentation-129.nii,,
35,/root/data/liver_seg/segmentations,segmentation-13.nii,,
36,/root/data/liver_seg/segmentations,segmentation-130.nii,,
37,/root/data/liver_seg/segmentations,segmentation-14.nii,,
38,/root/data/liver_seg/segmentations,segmentation-15.nii,,
39,/root/data/liver_seg/segmentations,segmentation-16.nii,,
40,/root/data/liver_seg/segmentations,segmentation-17.nii,,
41,/root/data/liver_seg/segmentations,segmentation-18.nii,,
42,/root/data/liver_seg/segmentations,segmentation-19.nii,,
43,/root/data/liver_seg/segmentations,segmentation-2.nii,,
44,/root/data/liver_seg/segmentations,segmentation-20.nii,,
45,/root/data/liver_seg/segmentations,segmentation-21.nii,,
46,/root/data/liver_seg/segmentations,segmentation-22.nii,,
47,/root/data/liver_seg/segmentations,segmentation-23.nii,,
48,/root/data/liver_seg/segmentations,segmentation-24.nii,,
49,/root/data/liver_seg/segmentations,segmentation-25.nii,,
50,/root/data/liver_seg/segmentations,segmentation-26.nii,,
51,/root/data/liver_seg/segmentations,segmentation-27.nii,,
52,/root/data/liver_seg/segmentations,segmentation-28.nii,,
53,/root/data/liver_seg/segmentations,segmentation-29.nii,,
54,/root/data/liver_seg/segmentations,segmentation-3.nii,,
55,/root/data/liver_seg/segmentations,segmentation-30.nii,,
56,/root/data/liver_seg/segmentations,segmentation-31.nii,,
57,/root/data/liver_seg/segmentations,segmentation-32.nii,,
58,/root/data/liver_seg/segmentations,segmentation-33.nii,,
59,/root/data/liver_seg/segmentations,segmentation-34.nii,,
60,/root/data/liver_seg/segmentations,segmentation-35.nii,,
61,/root/data/liver_seg/segmentations,segmentation-36.nii,,
62,/root/data/liver_seg/segmentations,segmentation-37.nii,,
63,/root/data/liver_seg/segmentations,segmentation-38.nii,,
64,/root/data/liver_seg/segmentations,segmentation-39.nii,,
65,/root/data/liver_seg/segmentations,segmentation-4.nii,,
66,/root/data/liver_seg/segmentations,segmentation-40.nii,,
67,/root/data/liver_seg/segmentations,segmentation-41.nii,,
68,/root/data/liver_seg/segmentations,segmentation-42.nii,,
69,/root/data/liver_seg/segmentations,segmentation-43.nii,,
70,/root/data/liver_seg/segmentations,segmentation-44.nii,,
71,/root/data/liver_seg/segmentations,segmentation-45.nii,,
72,/root/data/liver_seg/segmentations,segmentation-46.nii,,
73,/root/data/liver_seg/segmentations,segmentation-47.nii,,
74,/root/data/liver_seg/segmentations,segmentation-48.nii,,
75,/root/data/liver_seg/segmentations,segmentation-49.nii,,
76,/root/data/liver_seg/segmentations,segmentation-5.nii,,
77,/root/data/liver_seg/segmentations,segmentation-50.nii,,
78,/root/data/liver_seg/segmentations,segmentation-51.nii,,
79,/root/data/liver_seg/segmentations,segmentation-52.nii,,
80,/root/data/liver_seg/segmentations,segmentation-53.nii,,
81,/root/data/liver_seg/segmentations,segmentation-54.nii,,
82,/root/data/liver_seg/segmentations,segmentation-55.nii,,
83,/root/data/liver_seg/segmentations,segmentation-56.nii,,
84,/root/data/liver_seg/segmentations,segmentation-57.nii,,
85,/root/data/liver_seg/segmentations,segmentation-58.nii,,
86,/root/data/liver_seg/segmentations,segmentation-59.nii,,
87,/root/data/liver_seg/segmentations,segmentation-6.nii,,
88,/root/data/liver_seg/segmentations,segmentation-60.nii,,
89,/root/data/liver_seg/segmentations,segmentation-61.nii,,
90,/root/data/liver_seg/segmentations,segmentation-62.nii,,
91,/root/data/liver_seg/segmentations,segmentation-63.nii,,
92,/root/data/liver_seg/segmentations,segmentation-64.nii,,
93,/root/data/liver_seg/segmentations,segmentation-65.nii,,
94,/root/data/liver_seg/segmentations,segmentation-66.nii,,
95,/root/data/liver_seg/segmentations,segmentation-67.nii,,
96,/root/data/liver_seg/segmentations,segmentation-68.nii,,
97,/root/data/liver_seg/segmentations,segmentation-69.nii,,
98,/root/data/liver_seg/segmentations,segmentation-7.nii,,
99,/root/data/liver_seg/segmentations,segmentation-70.nii,,
100,/root/data/liver_seg/segmentations,segmentation-71.nii,,
101,/root/data/liver_seg/segmentations,segmentation-72.nii,,
102,/root/data/liver_seg/segmentations,segmentation-73.nii,,
103,/root/data/liver_seg/segmentations,segmentation-74.nii,,
104,/root/data/liver_seg/segmentations,segmentation-75.nii,,
105,/root/data/liver_seg/segmentations,segmentation-76.nii,,
106,/root/data/liver_seg/segmentations,segmentation-77.nii,,
107,/root/data/liver_seg/segmentations,segmentation-78.nii,,
108,/root/data/liver_seg/segmentations,segmentation-79.nii,,
109,/root/data/liver_seg/segmentations,segmentation-8.nii,,
110,/root/data/liver_seg/segmentations,segmentation-80.nii,,
111,/root/data/liver_seg/segmentations,segmentation-81.nii,,
112,/root/data/liver_seg/segmentations,segmentation-82.nii,,
113,/root/data/liver_seg/segmentations,segmentation-83.nii,,
114,/root/data/liver_seg/segmentations,segmentation-84.nii,,
